Сеть\\ Тип док.,
ТОВ ОЛІМП-ТРЕЙД,✔
Абсолют,✔
ТОВ Параллель-М ЛТД,✔
ФЛП Везунчик,✔
Фокстрот,✔
Фуршет,✔
ОККО-НАФТОПРОДУКТ,✔
Ашан,✔
Варус (ОМЕГА),✔
Салют,✔
Наш Край,✔
ПАККО Холдинг,✔
Салатейра,✔
ТОВ ДІЄСА(Ельдорадо),✔
Розетка,✔
Дивиал 2000,✔
Львівхолод,✔
Стиль Д(Простор),✔
ГудВайн ( Бюро Вин),✔
Таврія  В,✔
АТБ-маркет(РЦ),✔
Руш (Ева) ,✔
АТБ-Магазины,✔
Лукойл(Амик),✔
Шик и блеск,✔
Shell,✔
Пчелка маркет,✔
"Нова Лінія, ЕПІЦЕНТР",✔
Мегаполис Украина,
ТОВ «Фірмова мережа» Київхліб»,✔
МЕТРО,✔
Новус Украина,✔
Велика Кишеня,✔
ЕКО-МАРКЕТ,✔
Економ плюс,✔
Класс  (ТОВ Укр Трейд (ID19874)),✔
КОНТИНЕНТ-ТОРГ,✔
Колос,✔
Український Рітейл,✔
Ватсонс(ДЦ),✔
ТОВ УЖГОРОД П.С.Ю,✔
WOG,✔
Альянс маркет(Євротек),✔
Маркет Плюс,✔
Sokar,✔
Мережа Сервіс Львів (Близенько),✔
Вересень плюс,✔
Етана південь,✔
Идеал,✔
ГЛУСКО РІТЕЙЛ,✔
Аттика,✔
ТОВ ЧЕРНІГІВТОРГ,✔
"
МАССМАРТ",✔
Pampik ,✔
Дигма,✔
Аргон(Грош),✔
Копійка,✔
Білла,✔
 КЛЕВЕР СТОРС,✔
Аптеки 911(Осан),✔
Аттика,✔
СТЕЙТ ОІЛ,✔
Восторг,✔
Експансія,✔
ЛОТОК ( ЛК-ТРАНС),✔
Сільпо,✔
Сильпо РЦ,✔
Фора,✔
Два шага,✔
Суматра,✔
Траш,✔
ГВЕДЕОН,✔
ТОВ МАНГО-ГРУП,✔
ТОВ АРІТЕЙЛ                ,✔
ФЛАГМАН СТОР,✔
ТОВ ГОРПРЕСА,✔
АКОРД-2017,✔
"Fresh Food Market
(БМХ)",✔
ТОВ ЛА ФАРІНА,✔
СУШИЯ,✔
"ТД ""Аванта""",✔
ТАМ-ТАМ,✔
ТОВ Крамниця Добра-2,✔
ЛОТОС ТРЕЙД,✔
ПІТЛАЙН (АВІАС),✔
ТОВ Смак-Плюс,✔
ТОВ ІНТЕГРАЛ ГРУПП(Плюс маркет),✔
ТОВ ТС ПЛЮС,✔
"ФОП ГАСПАРЯН КАМО УСИКОВИЧ
(ТС Абрикос)",✔
Компания СІТІ ФУД ТРЕЙД,✔
Компания САН ОЙЛ,✔
33м2 (СТРОЙ ОПТ),✔
"ТзОВ ""Рітейл Україна"" ""Свій Маркет""",✔
ТОВ АЛЬФА-ЗАБАВА(Будинок Іграшок),✔
--- HORNBACH,✔
"ТОВ СІГМАСТЕЛС, (""РОСТ"")",✔
ТОВ ХАВІ МАРКЕТ (Баскет),✔
Сеть\\ Тип док.,"**O
R
D
E
R
S**"
